Month,"Average Price of Electricity to Ultimate Customers, Commercial",Total Renewable Energy Consumption,Total Petroleum Consumed by the Commercial Sector,Natural Gas Consumed by the Electric Power Sector,"Natural Gas Consumed by the Transportation Sector, Vehicle Fuel"
1990-02-01,7.15,0.321465,89.232,153.181,0.021
1990-03-01,7.23,0.353956,85.491,214.167,0.023
1990-04-01,7.2,0.334136,76.051,231.641,0.022
1990-05-01,7.31,0.317791,73.229,283.776,0.023
1990-06-01,7.49,0.289276,73.648,345.768,0.022
1990-07-01,7.52,0.315872,72.546,379.584,0.023
1990-08-01,7.53,0.33258,80.081,399.232,0.023
1990-09-01,7.5,0.311965,77.132,350.217,0.022
1990-10-01,7.58,0.312873,83.189,298.927,0.023
1990-11-01,7.34,0.301883,87.433,214.996,0.022
1990-12-01,7.17,0.341584,96.463,203.585,0.023
1991-01-01,7.17,0.370278,104.864,205.848,0.031
1991-02-01,7.36,0.292511,83.97,173.899,0.028
1991-03-01,7.37,0.317683,84.253,229.342,0.031
1991-04-01,7.36,0.293309,72.724,256.402,0.03
1991-05-01,7.51,0.32012,68.467,296.582,0.031
1991-06-01,7.64,0.313437,67.189,309.302,0.03
1991-07-01,7.74,0.309257,70.338,392.179,0.031
1991-08-01,7.74,0.340813,69.541,389.517,0.031
1991-09-01,7.76,0.345122,65.507,312.479,0.03
1991-10-01,7.81,0.324454,77.579,313.134,0.031
1991-11-01,7.47,0.318757,76.226,235.205,0.03
1991-12-01,7.3,0.35569,94.163,202.035,0.031
1992-01-01,7.3,0.366577,96.53,210.847,0.179
1992-02-01,7.39,0.305537,81.931,212.303,0.167
1992-03-01,7.44,0.311299,80.344,258.884,0.179
1992-04-01,7.43,0.292073,71.418,285.508,0.173
1992-05-01,7.61,0.282361,62.456,294.614,0.179
1992-06-01,7.89,0.323546,62.203,331.473,0.173
1992-07-01,7.94,0.333005,60.205,415.857,0.179
1992-08-01,7.95,0.34751,60.016,377.181,0.179
1992-09-01,7.99,0.324027,74.329,341.183,0.173
1992-10-01,7.9,0.340565,71.039,265.098,0.179
1992-11-01,7.54,0.345048,76.411,235.994,0.173
1992-12-01,7.41,0.3602,96.691,218.93,0.179
1993-01-01,7.32,0.372485,86.237,212.817,0.243
1993-02-01,7.38,0.322577,81.872,209.649,0.219
1993-03-01,7.43,0.360077,87.033,250.929,0.243
1993-04-01,7.49,0.329831,69.795,225.064,0.235
1993-05-01,7.75,0.312544,61.254,216.009,0.243
1993-06-01,8.0,0.303968,61.416,329.922,0.235
1993-07-01,8.02,0.309725,60.049,432.564,0.243
1993-08-01,8.01,0.345762,65.047,462.247,0.243
1993-09-01,8.07,0.325416,59.744,334.456,0.235
1993-10-01,8.1,0.331637,50.539,303.667,0.243
1993-11-01,7.71,0.340132,57.769,269.733,0.235
1993-12-01,7.42,0.352882,77.974,225.924,0.243
1994-01-01,7.36,0.38979,99.103,222.074,0.272
1994-02-01,7.48,0.324355,88.547,194.864,0.246
1994-03-01,7.46,0.354797,79.874,242.9,0.272
1994-04-01,7.45,0.333618,60.557,266.428,0.264
1994-05-01,7.68,0.303702,59.996,282.221,0.272
1994-06-01,7.97,0.313104,55.801,416.139,0.264
1994-07-01,8.05,0.366408,51.3,473.514,0.272
1994-08-01,8.08,0.333782,56.852,499.211,0.272
1994-09-01,8.17,0.304919,57.769,386.65,0.264
1994-10-01,7.92,0.345071,62.307,344.846,0.272
1994-11-01,7.51,0.337957,67.488,302.106,0.264
1994-12-01,7.37,0.348958,85.004,271.591,0.272
1995-01-01,7.33,0.335783,83.299,263.308,0.389
1995-02-01,7.49,0.298846,83.789,223.024,0.352
1995-03-01,7.53,0.346954,72.701,324.86,0.389
1995-04-01,7.5,0.360765,63.365,303.36,0.377
1995-05-01,7.64,0.33203,53.468,341.44,0.389
1995-06-01,7.95,0.343116,51.193,393.641,0.377
1995-07-01,8.06,0.399964,46.599,539.101,0.389
1995-08-01,7.95,0.397631,48.09,620.297,0.389
1995-09-01,7.84,0.349856,49.469,418.941,0.377
1995-10-01,7.85,0.387053,55.191,317.662,0.389
1995-11-01,7.6,0.371034,69.952,262.324,0.377
1995-12-01,7.36,0.373611,92.017,228.568,0.389
1996-01-01,7.31,0.386973,94.381,234.658,0.514
1996-02-01,7.39,0.344842,87.186,190.241,0.481
1996-03-01,7.46,0.385713,76.814,217.475,0.514
1996-04-01,7.48,0.325967,61.197,236.2,0.497
1996-05-01,7.62,0.357092,51.281,368.111,0.514
1996-06-01,7.72,0.376357,49.438,417.2,0.497
1996-07-01,7.95,0.395184,45.701,498.277,0.514
1996-08-01,7.99,0.39895,47.811,511.463,0.514
1996-09-01,7.96,0.347223,51.266,396.761,0.497
1996-10-01,7.84,0.398629,63.439,315.43,0.514
1996-11-01,7.52,0.386949,76.237,236.639,0.497
1996-12-01,7.29,0.377621,85.154,184.447,0.514
1997-01-01,7.27,0.396451,94.425,190.386,0.707
1997-02-01,7.38,0.342432,74.456,196.068,0.639
1997-03-01,7.44,0.381349,70.003,259.611,0.707
1997-04-01,7.4,0.373961,59.998,264.851,0.684
