Month,Natural Gas Consumed by the Residential Sector,Natural Gas Consumed by the Commercial Sector
1973-01-01,843.9,392.315
1973-02-01,747.331,394.281
1973-03-01,648.504,310.799
1973-04-01,465.867,231.943
1973-05-01,326.313,174.258
1973-06-01,207.172,135.165
1973-07-01,150.349,107.728
1973-08-01,142.498,105.681
1973-09-01,159.378,103.831
1973-10-01,205.013,126.54
1973-11-01,392.459,216.762
1973-12-01,590.602,297.734
1974-01-01,816.943,406.44
1974-02-01,688.478,335.562
1974-03-01,597.641,301.588
1974-04-01,482.013,243.041
1974-05-01,315.92,165.233
1974-06-01,215.382,128.032
1974-07-01,166.289,109.694
1974-08-01,142.086,107.828
1974-09-01,154.824,106.51
1974-10-01,235.176,143.295
1974-11-01,358.546,199.514
1974-12-01,612.83,308.879
1975-01-01,750.713,346.998
1975-02-01,732.408,345.52
1975-03-01,677.687,312.362
1975-04-01,596.831,289.341
1975-05-01,337.326,164.629
1975-06-01,203.708,119.96
1975-07-01,167.293,107.077
1975-08-01,143.604,104.332
1975-09-01,153.98,106.655
1975-10-01,223.383,133.055
1975-11-01,329.397,179.518
1975-12-01,607.794,298.845
1976-01-01,843.235,405.483
1976-02-01,739.592,364.339
1976-03-01,578.491,285.912
1976-04-01,442.648,221.383
1976-05-01,315.76,169.209
1976-06-01,220.871,129.058
1976-07-01,170.257,112.07
1976-08-01,140.774,113.174
1976-09-01,152.346,113.284
1976-10-01,241.902,145.824
1976-11-01,471.326,252.71
1976-12-01,734.158,355.294
1977-01-01,936.793,413.377
1977-02-01,823.439,366.311
1977-03-01,560.779,263.862
1977-04-01,401.258,202.477
1977-05-01,251.756,142.46
1977-06-01,182.212,121.297
1977-07-01,146.064,113.4
1977-08-01,131.33,108.977
1977-09-01,140.661,108.977
1977-10-01,223.663,139.407
1977-11-01,371.888,200.897
1977-12-01,651.64,319.351
1978-01-01,816.411,390.741
1978-02-01,837.768,400.991
1978-03-01,680.825,345.141
1978-04-01,445.702,224.969
1978-05-01,307.604,166.19
1978-06-01,184.388,119.963
1978-07-01,146.989,106.471
1978-08-01,130.27,100.928
1978-09-01,135.489,102.915
1978-10-01,209.515,133.873
1978-11-01,376.411,196.207
1978-12-01,631.636,312.718
1979-01-01,867.301,431.943
1979-02-01,892.145,444.867
1979-03-01,659.72,349.164
1979-04-01,463.492,256.024
