Month,"Average Price of Electricity to Ultimate Customers, Residential","Average Price of Electricity to Ultimate Customers, Commercial"
1990-02-01,7.48,7.15
1990-03-01,7.57,7.23
1990-04-01,7.69,7.2
1990-05-01,7.96,7.31
1990-06-01,8.1,7.49
1990-07-01,8.18,7.52
1990-08-01,8.24,7.53
1990-09-01,8.15,7.5
1990-10-01,8.04,7.58
1990-11-01,7.8,7.34
1990-12-01,7.61,7.17
1991-01-01,7.41,7.17
1991-02-01,7.61,7.36
1991-03-01,7.79,7.37
1991-04-01,7.98,7.36
1991-05-01,8.14,7.51
1991-06-01,8.32,7.64
1991-07-01,8.38,7.74
1991-08-01,8.41,7.74
1991-09-01,8.37,7.76
1991-10-01,8.32,7.81
1991-11-01,7.95,7.47
1991-12-01,7.81,7.3
1992-01-01,7.7,7.3
1992-02-01,7.78,7.39
1992-03-01,8.01,7.44
1992-04-01,8.03,7.43
1992-05-01,8.38,7.61
1992-06-01,8.61,7.89
1992-07-01,8.54,7.94
1992-08-01,8.56,7.95
1992-09-01,8.59,7.99
1992-10-01,8.44,7.9
1992-11-01,8.14,7.54
1992-12-01,7.86,7.41
1993-01-01,7.73,7.32
1993-02-01,7.79,7.38
1993-03-01,7.8,7.43
1993-04-01,8.13,7.49
1993-05-01,8.56,7.75
1993-06-01,8.74,8.0
1993-07-01,8.73,8.02
1993-08-01,8.73,8.01
1993-09-01,8.79,8.07
1993-10-01,8.76,8.1
1993-11-01,8.21,7.71
1993-12-01,7.9,7.42
1994-01-01,7.74,7.36
1994-02-01,7.85,7.48
1994-03-01,8.08,7.46
1994-04-01,8.3,7.45
1994-05-01,8.53,7.68
1994-06-01,8.77,7.97
1994-07-01,8.8,8.05
1994-08-01,8.84,8.08
1994-09-01,8.82,8.17
1994-10-01,8.56,7.92
1994-11-01,8.29,7.51
1994-12-01,8.06,7.37
1995-01-01,7.85,7.33
1995-02-01,8.01,7.49
1995-03-01,8.14,7.53
1995-04-01,8.41,7.5
1995-05-01,8.53,7.64
1995-06-01,8.72,7.95
1995-07-01,8.8,8.06
1995-08-01,8.78,7.95
1995-09-01,8.57,7.84
1995-10-01,8.65,7.85
1995-11-01,8.26,7.6
1995-12-01,8.02,7.36
1996-01-01,7.75,7.31
1996-02-01,7.81,7.39
1996-03-01,8.09,7.46
1996-04-01,8.24,7.48
1996-05-01,8.54,7.62
1996-06-01,8.65,7.72
1996-07-01,8.73,7.95
1996-08-01,8.86,7.99
1996-09-01,8.79,7.96
1996-10-01,8.67,7.84
1996-11-01,8.25,7.52
1996-12-01,7.99,7.29
1997-01-01,7.87,7.27
1997-02-01,7.98,7.38
1997-03-01,8.24,7.44
1997-04-01,8.38,7.4
1997-05-01,8.65,7.58
1997-06-01,8.91,7.88
1997-07-01,8.74,7.86
1997-08-01,8.8,7.91
1997-09-01,8.75,7.86
1997-10-01,8.59,7.66
1997-11-01,8.25,7.43
1997-12-01,8.03,7.24
1998-01-01,7.87,7.22
1998-02-01,7.97,7.29
1998-03-01,8.01,7.28
1998-04-01,8.23,7.31
1998-05-01,8.49,7.45
1998-06-01,8.53,7.61
1998-07-01,8.58,7.69
1998-08-01,8.57,7.67
1998-09-01,8.43,7.55
1998-10-01,8.25,7.44
1998-11-01,8.04,7.11
1998-12-01,7.92,7.11
1999-01-01,7.58,6.99
1999-02-01,7.92,7.18
1999-03-01,7.9,7.15
1999-04-01,8.09,7.08
1999-05-01,8.27,7.21
1999-06-01,8.43,7.42
1999-07-01,8.49,7.56
1999-08-01,8.42,7.49
1999-09-01,8.36,7.45
1999-10-01,8.37,7.41
1999-11-01,8.09,7.13
1999-12-01,7.94,6.88
